doc_document_id,doc_article_url,doc_title,doc_published_at,doc_published_date,doc_user_added,doc_user_analysis,doc_dexter_url,doc_country,doc_item_num,doc_medium,doc_medium_type,doc_medium_group,doc_parent_org,doc_topic,doc_topic_group,doc_origin,doc_origin_group,doc_author_name,doc_author_type,doc_analysis_nature,doc_flagged,doc_flag_notes,source_source_type,source_source_name,source_gender,source_race,source_source_age,source_affiliation,source_affiliation_code,source_affiliation_group,source_affiliation_group_code,source_function,source_role,source_quoted,source_photographed,source_document_source_id
59497,http://mg.co.za/article/2014-12-17-zuma-denies-links-to-sars-suspensions,Zuma denies links to Sars suspensions,41990.27708,2014/12/17,,,https://mma-dexter.code4sa.org/articles/59497,South Africa,,M&G,print - weekly,M&G,M&G,,,,,Sapa,Agency,anchor,,,person,Helen Zille,Female,White,,Western Cape Provincial Government,2.9,Provincial Government,2,,,quoted,,84432
59509,http://www.iol.co.za/lady-selbourne-new-lease-of-life-1.1796625,Lady Selbourne: new lease of life,41990.66528,2014/12/17,,,https://mma-dexter.code4sa.org/articles/59509,South Africa,,IOL,online,IOL,IOL,,,,,KENNEDY MUDZULI,Journalist,anchor,,,person,David Makhura,Male,Black,,Gauteng Provincial Government,2.3,Provincial Government,2,,,quoted,,84445
59509,http://www.iol.co.za/lady-selbourne-new-lease-of-life-1.1796625,Lady Selbourne: new lease of life,41990.66528,2014/12/17,,,https://mma-dexter.code4sa.org/articles/59509,South Africa,,IOL,online,IOL,IOL,,,,,KENNEDY MUDZULI,Journalist,anchor,,,person,Jacob Mamabolo,Male,Black,,Gauteng Provincial Government,2.3,Provincial Government,2,,,quoted,,84446
59566,http://citizen.co.za/295048/mec-condemns-dube-clan-leader-killing/,MEC condemns Dube clan leader killing,41990.49583,2014/12/17,,,https://mma-dexter.code4sa.org/articles/59566,South Africa,,The Citizen,print - daily,The Citizen,The Citizen,,,,,Sapa,Agency,anchor,,,person,Thembeka Mchunu,Female,,,KwaZulu-Natal Provincial Government,2.4,Provincial Government,2,,,quoted,,84493
59818,http://www.citypress.co.za/news/phumulo-masualle-upbeat-2015,"Masualle upbeat for 2015 in classrooms, council chambers",41990.63403,2014/12/17,,,https://mma-dexter.code4sa.org/articles/59818,South Africa,,City Press,print - weekly,City Press,City Press,,,,,Lubabalo Ngcukana,Journalist,anchor,,,person,Phumulo Masualle,Male,Black,,Eastern Cape Provincial Government,2.1,Provincial Government,2,,,quoted,,84711
59908,http://www.news24.com/SouthAfrica/News/Fear-xenophobia-behind-KZN-attacks-20141216,Fear xenophobia behind KZN attacks,41989.67778,2014/12/16,,,https://mma-dexter.code4sa.org/articles/59908,South Africa,,News24,online,News24,News24,,,,,Sapa,Agency,anchor,,,person,Willies Mchunu,Male,Black,,KwaZulu-Natal Provincial Government,2.4,Provincial Government,2,,,quoted,,84772
60072,http://www.dispatchlive.co.za/news/siu-called-in-to-probe-ec-sex-for-jobs-scandal,SIU called in to probe EC sex for jobs scandal,41991,2014/12/18,,,https://mma-dexter.code4sa.org/articles/60072,South Africa,,Daily Dispatch,print - daily,Daily Dispatch,Daily Dispatch,,,,,Mphumzi Zuzile,Journalist,anchor,,,person,Phumulo Masualle,Male,Black,,Eastern Cape Provincial Government,2.1,Provincial Government,2,,,quoted,,84905
60224,http://www.iol.co.za/drugs-ammo-guns-seized-in-w-cape-blitz-1.1796110,"Drugs, ammo, guns seized in W Cape blitz",41989.54444,2014/12/16,,,https://mma-dexter.code4sa.org/articles/60224,South Africa,,IOL,online,IOL,IOL,,,,,Staff Reporters,Journalist,anchor,,,person,JP Smith,Male,White,,Western Cape Provincial Government,2.9,Provincial Government,2,,,quoted,,85006
60265,http://www.sabc.co.za/news/a/044a1900469e182194439786360cdfff/RAF-owes-clean-audits-to-turnaround-strategy-20141912,RAF owes clean audits to turnaround strategy,41992.46528,2014/12/19,,,https://mma-dexter.code4sa.org/articles/60265,South Africa,,SABC News,online,SABC News,SABC,,,,,SABC,Journalist,anchor,,,person,Eugene Watson,Male,Black,,Limpopo Provincial Government,2.5,Provincial Government,2,,,quoted,,85035
60304,http://www.sabc.co.za/news/a/66a30c00469798e484f9be8c3c6d57d4/Officials-worried-by-overloaded-vehicles-near-Beit-Bridge-20141712,Officials worried by overloaded vehicles near Beit Bridge,41993.05428,2014/12/20,,,https://mma-dexter.code4sa.org/articles/60304,South Africa,,SABC News,online,SABC News,SABC,,,,,Unknown,Unknown,anchor,,,person,Joseph Mabuza,Male,Black,,Mpumalanga Provincial Government,2.6,Provincial Government,2,,,quoted,,85058
